Timestamp,Controller_ID,AP_Name,Client_ID_or_MAC,SSID,Signal_dBm,Backhaul_Latency_ms,Assoc_Status,Error_Event
2025-12-09 10:00:20,WLC-DAL-01,AP-DAL-FL2,A1:B2:C3:D4:E5:01,Corp_Wifi,-55,12,Associated,None
2025-12-09 10:01:05,WLC-NYC-01,AP-NYC-LOBBY,B2:C3:D4:E5:F6:02,Guest_Wifi,-60,15,Associated,None
2025-12-09 10:01:45,WLC-DAL-01,AP-DAL-FL2,C3:D4:E5:F6:A1:03,Corp_Wifi,-58,14,Associated,None
2025-12-09 10:02:30,WLC-DAL-01,AP-DAL-FL2,D4:E5:F6:A1:B2:04,IoT_Dev,-65,13,Associated,None
2025-12-09 10:03:15,WLC-DAL-01,AP-DAL-FL1,A1:B2:C3:D4:E5:01,Corp_Wifi,-52,12,Roaming_OK,None
2025-12-09 10:04:00,WLC-DAL-01,AP-DAL-FL2,HP_Printer_X12,IoT_Dev,-70,14,Associated,Paper_Jam_Alert_Sent
2025-12-09 10:05:22,WLC-DAL-01,AP-DAL-FL2,sarah.j_iPhone,Corp_Wifi,-56,13,Associated,None
2025-12-09 10:06:10,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,12,Associated,None
2025-12-09 10:07:35,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,14,Associated,None
2025-12-09 10:08:45,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,13,Associated,None
2025-12-09 10:09:20,WLC-DAL-01,AP-DAL-FL3,Unknown_Device,Guest_Wifi,-85,15,Rejected,Auth_Failed_Wrong_PSK
2025-12-09 10:10:05,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-50,12,Associated,None
2025-12-09 10:11:40,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,14,Associated,None
2025-12-09 10:12:55,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,15,Associated,None
2025-12-09 10:14:10,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,95,Unstable,High_Backhaul_Latency
2025-12-09 10:15:00,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,340,Unstable,Queue_Overflow_Drop
2025-12-09 10:15:30,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-50,520,Unstable,WAN_Link_Unreachable
2025-12-09 10:16:05,WLC-DAL-01,AP-DAL-FL2,sarah.j_iPhone,Corp_Wifi,-56,500,Dissociated,Beacon_Loss_Timeout
2025-12-09 10:16:40,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,480,Unstable,TCP_Retransmit_Storm
2025-12-09 10:17:15,WLC-DAL-01,AP-DAL-FL2,HP_Printer_X12,IoT_Dev,-70,450,Offline,Device_Keepalive_Fail
2025-12-09 10:17:55,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,0,Dissociated,Radius_Server_Timeout
2025-12-09 10:18:30,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-55,0,Associating,Radius_Retry_Attempt
2025-12-09 10:19:10,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-50,180,Associated,Auth_Success_Cached
2025-12-09 10:20:00,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,45,Unstable,Backhaul_Improving
2025-12-09 10:20:45,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,35,Associated,Throughput_Low
2025-12-09 10:21:20,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,25,Associated,Stable
2025-12-09 10:22:00,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,15,Associated,Stable
2025-12-09 10:22:35,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,14,Associated,Stable
2025-12-09 10:23:15,WLC-DAL-01,AP-DAL-FL2,sarah.j_iPhone,Corp_Wifi,-56,13,Associated,Reassociated
2025-12-09 10:24:00,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,12,Associated,Stable
2025-12-09 10:24:40,WLC-DAL-01,AP-DAL-FL2,HP_Printer_X12,IoT_Dev,-70,14,Associated,Reconnected
2025-12-09 10:25:20,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,12,Associated,Stable
2025-12-09 10:26:00,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,13,Associated,Stable
2025-12-09 10:26:45,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,12,Associated,Stable
2025-12-09 10:27:25,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,14,Associated,Stable
2025-12-09 10:28:10,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,12,Associated,Stable
2025-12-09 10:28:50,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,13,Associated,Stable
2025-12-09 10:29:30,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,12,Associated,Stable
2025-12-09 10:30:10,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,14,Associated,Stable
2025-12-09 10:30:50,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,13,Associated,Stable
2025-12-09 10:31:30,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,12,Associated,Stable
2025-12-09 10:32:10,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,14,Associated,Stable
2025-12-09 10:32:50,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-48,13,Associated,Stable
2025-12-09 10:33:30,WLC-DAL-01,AP-DAL-FL2,LPT-DAL-SARAH,Corp_Wifi,-49,12,Associated,Stable